Setting;Value type;Default value;Location;Comment;Min PHP version;Max PHP version;Module;Min module version;Max module version
sql.safe_mode;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"";;;;;
sqlite.assoc_case;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since PHP 5.0.0.";5.0.0;;;;
sqlite3.extension_dir;VALUE_TYPE_STRING;;PHP_INI_SYSTEM;"Available since PHP 5.3.11.";5.3.11;;;;
sybase.allow_persistent;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"PHP_INI_ALL in PHP <= 4.0.2. PHP_INI_SYSTEM in PHP <= 4.0.3.";;;;;
sybase.interface_file;VALUE_TYPE_STRING;;PHP_INI_ALL;"";;;;;
sybase.max_links;VALUE_TYPE_INTEGER;-1;PHP_INI_ALL;"PHP_INI_ALL in PHP <= 4.0.2. PHP_INI_SYSTEM in PHP <= 4.0.3.";;;;;
sybase.max_persistent;VALUE_TYPE_INTEGER;-1;PHP_INI_ALL;"PHP_INI_ALL in PHP <= 4.0.2. PHP_INI_SYSTEM in PHP <= 4.0.3.";;;;;
sybase.min_error_severity;VALUE_TYPE_INTEGER;10;PHP_INI_ALL;"";;;;;
sybase.min_message_severity;VALUE_TYPE_INTEGER;10;PHP_INI_ALL;"";;;;;
sybct.deadlock_retry_count;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since PHP 4.3.0.";4.3.0;;;;
sybct.login_timeout;VALUE_TYPE_INTEGER;-1;PHP_INI_ALL;"Available since PHP 4.0.2.";4.0.2;;;;
sybct.packet_size;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since PHP 4.3.5.";4.3.5;;;;
sybct.timeout;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since PHP 4.0.2.";4.0.2;;;;
sys_temp_dir;VALUE_TYPE_STRING;;PHP_INI_SYSTEM;"Available since PHP 5.5.0.";5.5.0;;;;
sysvshm.init_mem;VALUE_TYPE_INTEGER;10000;PHP_INI_ALL;"";;;;;
tidy.clean_output;VALUE_TYPE_INTEGER;0;PHP_INI_USER;"PHP_INI_PERDIR in PHP 5. Available since PHP 5.0.0.";5.0.0;;;;
tidy.default_config;VALUE_TYPE_STRING;;PHP_INI_SYSTEM;"Available since PHP 5.0.0.";5.0.0;;;;
track_errors;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"";;;;;
unserialize_callback_func;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"Available since PHP 4.2.0.";4.2.0;;;;
uploadprogress.file.filename_template;VALUE_TYPE_STRING;/tmp/upt_%s.txt;PHP_INI_ALL;"";;;;;
upload_max_filesize;VALUE_TYPE_QUANTITY;2M;PHP_INI_PERDIR;"PHP_INI_ALL in PHP <= 4.2.3.";;;;;
max_file_uploads;VALUE_TYPE_INTEGER;20;PHP_INI_SYSTEM;"Available since PHP 5.2.12.";5.2.12;;;;
upload_tmp_dir;VALUE_TYPE_STRING;NULL;PHP_INI_SYSTEM;"";;;;;
url_rewriter.tags;VALUE_TYPE_STRING;a=href,area=href,frame=src,form=,fieldset=;PHP_INI_ALL;"Available since PHP 4.0.4.";4.0.4;;;;
user_agent;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"Available since PHP 4.3.0.";4.3.0;;;;
user_dir;VALUE_TYPE_STRING;NULL;PHP_INI_SYSTEM;"";;;;;
user_ini.cache_ttl;VALUE_TYPE_INTEGER;300;PHP_INI_SYSTEM;"Available since PHP 5.3.0.";5.3.0;;;;
user_ini.filename;VALUE_TYPE_STRING;.user.ini;PHP_INI_SYSTEM;"Available since PHP 5.3.0.";5.3.0;;;;
valkyrie.auto_validate;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"";;;;;
valkyrie.config_path;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"";;;;;
variables_order;VALUE_TYPE_STRING;EGPCS;PHP_INI_PERDIR;"PHP_INI_ALL in PHP <= 5.0.5.";;;;;
vld.active;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"";;;;;
vld.execute;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"Available since vld 0.8.0.";;;VLD;0.8.0;
vld.skip_append;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since vld 0.8.0.";;;VLD;0.8.0;
